iter	Passed	Remaining
0	14	1390
1	19	978
2	23	766
3	25	617
4	27	517
5	28	449
6	30	399
7	31	359
8	32	328
9	33	303
10	34	282
11	36	264
12	37	248
13	38	234
14	39	221
15	40	210
16	40	199
17	41	190
18	42	182
19	43	174
20	44	167
21	45	161
22	46	155
23	47	150
24	48	145
25	49	140
26	50	136
27	51	131
28	52	128
29	53	124
30	54	121
31	55	118
32	56	115
33	57	112
34	59	109
35	60	106
36	61	104
37	62	101
38	63	99
39	64	96
40	65	94
41	65	90
42	66	88
43	67	86
44	68	84
45	69	81
46	70	79
47	71	77
48	72	75
49	73	73
50	74	71
51	75	70
52	76	68
53	77	66
54	78	64
55	79	62
56	80	60
57	81	59
58	82	57
59	83	55
60	84	54
61	85	52
62	87	51
63	88	49
64	89	48
65	90	46
66	91	44
67	92	43
68	93	41
69	94	40
70	95	38
71	96	37
72	97	36
73	98	34
74	99	33
75	100	31
76	101	30
77	102	28
78	103	27
79	105	26
80	106	24
81	107	23
82	108	22
83	109	20
84	110	19
85	111	18
86	112	16
87	113	15
88	118	14
89	120	13
90	121	11
91	122	10
92	123	9
93	124	7
94	126	6
95	128	5
96	129	4
97	130	2
98	131	1
99	133	0
